name; university_id
EpicGrinch;1
CHNTU Scarlet Crusade;2
CHNTU 155.9;2
CHNTU_PFP;2
KNTEU_Argus;4
KNUKiM_2;5
KNUBA_StackOverflow;6
KNUBA_BULLET;6
NAM_bteam;7
Unity Developers;8
noBugsException;9
NTUU_KPI_Schmetterlinge;10
BayWatch;10
NTUU_KPI_AIR;10
NUFT_Mandelbrot's_children;11
NUFT_Chernysh;11
ShortCircuit;12
timeless;12
Emperors;12
Taxman 2;13
Taxman 1;13
NDU_Romashka++;14
RIPT;15
SUT_Eclipse;16
SSU_PROJECT_ANAKONDA;17
SSU_Bulat;17
The Alphas;18
Nameless;18
Polar Bears;18
Shamans;18
Forritary;18
Daddies;18
Advantage;18
KNEU_QTEAM;19
KNEU_SCOPE;19
KNEU_Binary;19
ZSTU_NOT_NULL;20
ZSTU_CoffeeCoders;20
ZSTU_PHP_TEAM;20
ZhSU_team;3
ZhSU_illuminati;3
KhAI_Su-7B*;21
KhNURE_Ties*;22
DonNTU_CSTF_United*;23
LTSNU_ITSUnited*;24
KhNURE_Random_People*;22
KhIBS_2;25
KhNPU_PYGeeks;26
KhNADU_ITM_7;27
KhNUCEA_Sigma;28
KhNADU_ITM_18;27
UEPA2*;29
KhNUCEA_EKIT3;28
KhAI_Console;21
KhAI_Steal_Rinse;21
KhNU_BDSH;30
KhNU_Prog4Life;30
KhNUE_KOPTeam;31
KhNUE_Infinity;31
KhNU_FKS;30
KhNURE_KG;22
UEPA1;29
KhAI_Apsis;21
KhNURE_LOG;22
KhNUE_InTo;31
KhPI_bhes;32
KhNUE_K.O.S.;31
KhPI_Screed;32
KhPI_Morituri;32
KhPI_Society;32
KhNU_TrioFox;30
EUNU Imba Coders;33
MSU_SA;34
DSEA:MissDGMA2016;35
DSEA:ITin3D;35
DSEA:Heroes of Code and Magic;35
DNURT_USERS;36
DNURT_SudoSu;36
NMetAU_Metal;38
DSTU_Silent;39
USUCE Resharper's;40
ChNUBKh Team A;41
PoltNTU_CE4_16;42
DNU_Cifeidion;43
DNU_Ducks;43
DNU_Dodger;43
DNU_ITus;43
DNU_7777;43
KNTU_UTNK;44
NMetAU_EK01;38
KSPU_NotFound;46
KSPU_LSD445;46
CkMIIT-KNUTD_Iwin_pooh;48
CkMIIT-KNUTD_Ahead_of_the_wind;48
PoltNTU_Trinity;42
KNTU_NovusTeam;44
DSTU_Armicron;39
PUET_Bootmen;53
PUET_Infinitech;53
ChNUBKh Alive Cluster;41
NMU_SPQR;56
NMU_DMP;56
KNU_Slaveholders;58
KNU_crazy_rabbits;58
IPPZ_2016_31;60
ChSTU roflPriority;61
ChSTU padawans;61
KSPU_FatalError;46
DSEA:ITin3D;35
DSEA:Heroes of Code and Magic;35
BSPU_Code_junkies ;64
MSPU_AKUMA;65
NUS_UFO;66
NUS_Long;66
NUS_VDM;66
ONAFT_C++In14Days;67
ONAFT_Third_Wheel;67
ONAT_PI_guys;68
ONAT_Funny_team;68
ONU_Solvers_of_Fortune*;69
ONU_Antananarivu*;69
ONU_The_Big_Coding_Theory;69
ONU_Luckomotive;69
ONPU_TASCHI;70
ONPU_FireFly;70
ONPU_Compote;70
ONPU_LightSCribe;70
OSEU_Crutch;67
OSEU_team1;67
TSATU_Kotitta;72
TSATU_Kostyli;72
CPU_Polite_Zombie;73
ZNU_Alt+F4;74
ZNU-MED;74
ZSEA_Random – my home;75
ZSEA_Karambool;75
ZSEA_Luckyteam;75
ZNTU_ToAcme;76
ZNTU_Pro100Team;76
ZNTU_Kappatalize;76
ZNTU_KernelPanic*;76
ZNTU_PiecesOfFlare;76
_TEAM_I_31_BEST_;77
LNMU_esculap;78
DDPU_Triada;79
IFNTUOG_Multyfrukty;80
LNTU_Hope;81
LNTU_KT;81
LNU c==8;82
LNU LogyCode;82
LNU VVT;82
LNU_AlgoTesters;82
Need_For_Sleep_Undercovdra;82
NULP_Disciples;83
NULP_Nerdasaurus;83
NULP_PaPePiPoPu;83
NULP_R2-D2;83
LSUVAS_UBGD_Team;84
NFUU_Junior;85
NFUU_Veterans*;85
NCNTU_IT;86
NUWM_BrainStorm;87
NUWM_Stream;87
NUWM_Super_Nastia;87
Owl;77
SeniorYVLIT;77
UCU_Socrative;88
UCUlele;88
UzhNU_Apriori;89
UzhNU_AwesomeTeam;89
UzhNU_Brainiacs;89
UzhNU_Eagles;89
UzhNU_MagicalPony;89
148minutes;90
PNU-ki-3;90
PNU-ki-4;90
EENU_Everest_Alpha;91
EENU_Everest_Beta;91
EENU_Everest_Gamma;91
TNPU_StackTrace;99
VSPU_Penguin_Overturners;105
TNTU_iAmCoder;100
TNTU_Bornhub;100
DonNU_Phoenix*;94
VNTU_TreeS;104
CHNU_APM_NextGen;93
CHNU_APM_Breaking_code*;93
VITE_KNUTE_Cybernetics;103
KPNU_3;97
KPNU_1;97
TNTUGK_16plus;101
VNTU_RED;104
TNTU_TNT;100
ZC-TNTU_Prime*;106
DonNU_FMIT-1;94
KhNU_Compilation_Error*;96
TNTUHC_Domamorych;102
TNEU_C#2;98
DonNU_Warriors;94
CHNU_APM_FastPinkBanana;93
KhNU_CodeMates;96
CHNU_APM_FTW;93
TNPU_StackOverflow;99
KhmPC_BamBuK* ;95
KhNU_Reverse_Polarity;96
BATI_Energy*;92
DonNU_Hollywood ;94
VNTU_.pgg();104
VNTU_[figTree];104
TNTUGK_fixiki;101
VNTU_Destructor;104
KhNU_rva_team* ;96
KhmPC_NoSaTka  ;95
TNTU_qwerty;100
TNEU_C#1;98
VSPU_Bomb;105
