name; university_id
KhNUVNK_AnotherTeam;30
ONU_Luckomotive;69
DNU_Dodger;43
VNTU_++j+++j;104
CUSPU_NotFound;114
KhNURE_Banned_team;22
KhPI_Morituri::Reborn*;32
KhPI_WABEPMA;32
VNTU_TreeS;104
ONU_Rabid_Pandas;69
PUET_SickOurDucks;53
ChNU_BlessRNG;93
KhAI_Gradient;21
KNU_OlyaWakeUp;18
cKhmPC_FantasticThree;95
ONPU_Fikus;70
VNTU_9_3/4;104
NaUKMA_singularCurves;115
KNU_ACMR_LOVERS;18
VNTU_[figTree];104
NTUU_KPI_encore;10
UzhNU_Auturismo;89
DNU_47th_Bit;43
KNU_COPYPASTE*;18
LNU_XXL*;82
KhNURE_RandomPeople;22
LNU Unhard;82
BSNU_TopSquad;116
LNU_LogyCode;82
KhNURE_Energy;22
UzhNU_MaybeEasyWin;89
DonNU_Fearless;94
ONU_HugsOfBugs*;69
KNU_CornerCase*;18
UCUlele;88
ONPU_GreenDay*;70
ZNTU_Kappatalize;76
NULP_Phoenix;83
KNEU_IPPZ_2018_51;19
DNU_Ducks;43
NTUU_KPI_IASA18;10
UzhNU_Storm;89
KhNUE_Boiledd_Pilotz*;31
